Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOP-15-008 | CWR-ended | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
TOP-15-009 | PUB | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 3 | 0 | 0 | 1 | 0 | 0
TOP-15-010 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0 | 26 | 0 | 0 | 8 | 0 | 0
TOP-15-011 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 2 | 0 | 0 | 22 | 4 | 0 | 8 | 2 | 0
TOP-15-012 | PAS-only-PUB | 0 | 0 | 1 | 0 | 4 | 2 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0
TOP-15-013 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 2 | 0 | 0
TOP-15-014 | PUB | 1 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 1 | 0 | 4 | 1 | 0 | 2 | 1 | 0
TOP-15-015 | ReadyForSub | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
TOP-15-016 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
TOP-15-017 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
